name cluster
251555_at 2
265817_at 2
250666_at 2
265725_at 2
253866_at 2
250650_at 2
258347_at 2
265561_s_at 2
267612_at 2
251987_at 2
262888_at 2
252419_at 2
247655_at 2
245800_at 2
262049_at 2
246241_at 2
250162_at 2
248337_at 2
248821_at 2
253987_at 2
250360_at 2
253386_at 2
250702_at 2
253806_at 2
246260_at 2
253326_at 2
260639_at 2
257102_at 2
248248_at 2
264872_at 2
246833_at 2
252606_at 2
260263_at 2
253293_at 2
250028_at 2
250881_at 2
249217_at 2
262286_at 2
254269_at 2
264375_at 2
253666_at 2
249454_at 2
248735_at 2
253043_at 2
249978_at 2
266743_at 2
247136_at 2
266806_at 2
260287_at 2
260900_s_at 2
255794_at 2
260783_at 2
267646_at 2
245528_at 2
256681_at 2
258906_at 2
264211_at 1
248011_at 2
256818_at 2
266165_at 4
262181_at 2
264663_at 2
263083_at 2
257874_at 2
257209_at 2
266849_at 2
249309_at 2
244960_at 2
253872_at 2
249490_s_at 2
246395_at 2
246001_at 2
262801_at 2
259445_at 2
261863_at 2
250208_at 2
262844_at 2
253373_at 2
264204_at 2
251584_at 2
265943_at 2
266150_s_at 2
247835_at 2
259214_at 2
248558_at 2
247519_at 2
266175_at 2
264687_at 2
256981_at 2
263157_at 2
260881_at 2
256913_at 2
249979_s_at 2
259923_at 2
267008_at 2
258791_at 2
246215_at 2
258218_at 2
250550_at 2
251181_at 2
254766_at 2
260024_at 2
261114_at 2
254059_at 2
263841_at 2
250304_at 2
246858_at 2
253344_at 2
255883_at 2
245676_at 2
252570_at 2
252073_at 2
248879_at 2
248495_at 2
259975_at 2
249983_at 2
263433_at 2
251790_at 2
257216_at 2
265991_at 2
267266_at 2
265544_at 2
256598_at 2
265170_at 2
247345_at 2
266231_at 2
264893_at 2
251293_at 4
255812_at 2
252958_at 2
259129_at 2
248622_at 2
267497_at 1
258975_at 2
259550_at 2
253099_s_at 2
258887_at 2
245275_at 2
257635_at 2
259133_at 2
264866_at 2
255430_at 2
252095_at 2
266364_at 4
248763_at 2
253571_at 2
251304_at 2
245244_at 2
258064_at 2
250455_at 2
246531_at 2
248961_at 2
267261_at 2
266181_at 2
258468_at 3
256497_at 3
250633_at 3
252537_at 3
